Label,Best Relative Elastic Modulus
0.031003336,0.027938615471396568
0.031730778,0.03324448398445344
0.037464227,0.039918680522251504
0.039499343,0.035579184064505304
0.042435651,0.038195920722117964
0.043834245,0.04553981321964373
0.044939924,0.038688134612274494
0.047350978,0.0467935323514109
0.055909896,0.05892268755413754
0.056999909,0.06287321313412984
0.057309119,0.05993518639656849
0.059721873,0.06711744310227241
0.062467114,0.057693621373459424
0.031003,0.03156856452755725
0.031864,0.03358617426683747
0.047351,0.04271642699597903
0.04823,0.044986623138944595
0.048993,0.04613501961957289
0.051527,0.05189343906049781
0.053373,0.05181885648613448
0.054199,0.05383677440636217
0.061309,0.056185859800477814
0.062047,0.057862992949595765
0.062319,0.060845980358873536
0.064786,0.059338328062525626
